epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
189	-0.008	0.07	0.988	0.988	0.997	0.998	42.032	0.989	0.947
190	-0.009	0.068	0.986	0.989	0.997	0.998	42.037	0.988	0.946
191	-0.105	0.066	0.986	0.989	0.997	0.997	42.039	0.986	0.946
192	-0.025	0.064	0.988	0.989	0.997	0.998	42.034	0.99	0.946
193	0.003	0.065	0.987	0.989	0.997	0.998	42.04	0.989	0.946
194	-0.001	0.072	0.987	0.987	0.998	0.999	42.035	0.989	0.947
195	-0.0	0.069	0.987	0.988	0.998	0.999	42.035	0.99	0.947
196	-0.009	0.074	0.987	0.987	0.997	0.998	42.045	0.986	0.945
197	-0.003	0.075	0.986	0.987	0.997	0.998	42.037	0.987	0.948
198	-0.045	0.065	0.987	0.99	0.997	0.998	42.046	0.988	0.945
199	-0.017	0.075	0.987	0.986	0.998	0.998	42.041	0.987	0.947
200	0.01	0.068	0.988	0.989	0.998	0.998	42.04	0.987	0.947
201	-0.0	0.067	0.987	0.989	0.997	0.998	42.039	0.99	0.947
202	0.0	0.072	0.988	0.987	0.998	0.999	42.04	0.988	0.948
203	-0.0	0.071	0.987	0.988	0.997	0.998	42.04	0.988	0.946
204	-0.001	0.071	0.987	0.988	0.998	0.998	42.04	0.989	0.946
205	-0.004	0.065	0.987	0.99	0.997	0.998	42.042	0.988	0.946
206	0.001	0.067	0.987	0.988	0.997	0.998	42.039	0.986	0.946
207	-0.002	0.062	0.987	0.99	0.997	0.998	42.04	0.99	0.946
208	-0.002	0.068	0.987	0.989	0.997	0.998	42.043	0.989	0.946
209	-0.002	0.068	0.986	0.988	0.997	0.998	42.04	0.988	0.946
210	-0.003	0.062	0.989	0.989	0.997	0.998	42.042	0.989	0.946
211	-0.009	0.062	0.988	0.989	0.998	0.998	42.042	0.991	0.946
212	-0.003	0.064	0.987	0.99	0.997	0.998	42.043	0.987	0.945
213	-0.01	0.063	0.988	0.99	0.997	0.998	42.04	0.987	0.947
214	-0.01	0.067	0.988	0.989	0.998	0.999	42.04	0.99	0.946
215	-0.006	0.063	0.988	0.989	0.998	0.998	42.044	0.99	0.946
216	-0.037	0.072	0.987	0.986	0.998	0.999	42.041	0.991	0.946
217	-0.031	0.064	0.988	0.988	0.998	0.998	42.042	0.989	0.946
218	-0.005	0.072	0.988	0.987	0.997	0.998	42.044	0.99	0.946
219	-0.011	0.063	0.988	0.989	0.997	0.998	42.04	0.988	0.946
220	-0.031	0.069	0.987	0.989	0.997	0.998	42.042	0.99	0.946
221	-0.055	0.089	0.985	0.988	0.997	0.998	42.039	0.985	0.945
222	-0.092	0.058	0.989	0.99	0.997	0.998	42.04	0.99	0.946
223	-0.038	0.069	0.987	0.989	0.998	0.998	42.04	0.991	0.945
224	-0.09	0.07	0.987	0.988	0.997	0.998	42.04	0.989	0.946
225	-0.093	0.069	0.987	0.987	0.998	0.998	42.041	0.99	0.945
226	-0.067	0.066	0.987	0.989	0.998	0.999	42.041	0.99	0.946
227	-0.038	0.064	0.987	0.99	0.997	0.998	42.044	0.989	0.946
228	-0.091	0.064	0.988	0.989	0.998	0.999	42.04	0.99	0.946
229	-0.07	0.065	0.987	0.99	0.998	0.998	42.042	0.989	0.946
230	-0.044	0.069	0.987	0.988	0.997	0.998	42.041	0.991	0.946
231	-0.061	0.069	0.987	0.988	0.997	0.998	42.039	0.99	0.946
232	-0.092	0.068	0.988	0.989	0.998	0.998	42.041	0.99	0.946
233	-0.087	0.058	0.988	0.991	0.997	0.997	42.042	0.988	0.946
234	-0.089	0.065	0.988	0.989	0.997	0.998	42.04	0.991	0.946
235	-0.073	0.071	0.987	0.987	0.998	0.999	42.039	0.991	0.947
236	-0.08	0.067	0.989	0.988	0.998	0.998	42.04	0.99	0.946
237	-0.063	0.059	0.988	0.992	0.998	0.999	42.04	0.99	0.946
238	-0.09	0.055	0.988	0.992	0.997	0.998	42.04	0.989	0.946
239	-0.077	0.072	0.987	0.986	0.998	0.999	42.041	0.99	0.947
240	-0.074	0.061	0.988	0.99	0.998	0.999	42.041	0.99	0.947
241	-0.078	0.064	0.986	0.99	0.998	0.998	42.043	0.99	0.946
242	-0.072	0.069	0.987	0.988	0.997	0.998	42.042	0.99	0.946
243	-0.086	0.076	0.986	0.987	0.998	0.998	42.039	0.991	0.946
244	-0.074	0.064	0.988	0.989	0.998	0.999	42.042	0.991	0.946
245	-0.015	0.062	0.989	0.99	0.997	0.997	42.04	0.987	0.946
246	-0.055	0.066	0.987	0.989	0.998	0.998	42.042	0.991	0.946
247	-0.077	0.065	0.988	0.99	0.998	0.999	42.042	0.99	0.946
248	-0.065	0.065	0.988	0.989	0.997	0.998	42.039	0.99	0.947
249	-0.069	0.059	0.989	0.99	0.998	0.999	42.044	0.99	0.946
250	-0.08	0.071	0.987	0.988	0.998	0.998	42.041	0.991	0.946
251	-0.08	0.074	0.987	0.987	0.998	0.999	42.041	0.991	0.946
252	-0.082	0.069	0.987	0.988	0.997	0.998	42.041	0.99	0.946
253	-0.086	0.061	0.989	0.989	0.998	0.999	42.041	0.99	0.947
254	-0.084	0.067	0.988	0.987	0.997	0.998	42.043	0.989	0.946
255	-0.09	0.057	0.989	0.991	0.998	0.998	42.041	0.99	0.947
256	-0.093	0.071	0.988	0.988	0.998	0.999	42.041	0.99	0.946
257	-0.078	0.067	0.988	0.988	0.998	0.999	42.041	0.991	0.945
258	-0.084	0.064	0.987	0.99	0.998	0.998	42.041	0.99	0.946
259	-0.081	0.066	0.988	0.989	0.997	0.998	42.041	0.989	0.946
260	-0.096	0.068	0.988	0.988	0.998	0.999	42.042	0.99	0.946
261	-0.101	0.059	0.989	0.991	0.998	0.999	42.043	0.99	0.946
262	-0.101	0.065	0.987	0.989	0.997	0.998	42.04	0.989	0.946
263	-0.092	0.064	0.988	0.99	0.998	0.998	42.042	0.99	0.946
264	-0.094	0.07	0.987	0.987	0.998	0.998	42.043	0.989	0.946
265	-0.069	0.057	0.988	0.992	0.998	0.999	42.04	0.989	0.946
266	-0.08	0.068	0.987	0.989	0.997	0.998	42.041	0.99	0.946
267	-0.084	0.073	0.986	0.987	0.998	0.998	42.039	0.991	0.946
268	-0.096	0.062	0.988	0.989	0.998	0.998	42.04	0.99	0.946
269	-0.082	0.065	0.987	0.989	0.998	0.999	42.04	0.99	0.946
270	-0.086	0.065	0.988	0.989	0.997	0.998	42.043	0.989	0.946
271	-0.095	0.065	0.988	0.99	0.997	0.998	42.042	0.988	0.946
272	-0.099	0.056	0.989	0.991	0.998	0.999	42.04	0.99	0.946
273	-0.097	0.078	0.987	0.986	0.998	0.998	42.04	0.989	0.947
274	-0.095	0.062	0.988	0.99	0.997	0.998	42.045	0.99	0.945
275	-0.096	0.06	0.989	0.989	0.998	0.998	42.042	0.99	0.945
276	-0.103	0.066	0.988	0.989	0.998	0.999	42.04	0.989	0.946
277	-0.105	0.063	0.988	0.989	0.998	0.998	42.041	0.989	0.946
278	-0.111	0.059	0.988	0.991	0.998	0.999	42.042	0.99	0.946
279	-0.104	0.07	0.986	0.988	0.998	0.999	42.039	0.989	0.946
280	-0.103	0.068	0.987	0.987	0.997	0.998	42.042	0.989	0.945
281	-0.101	0.074	0.987	0.987	0.997	0.998	42.042	0.989	0.946
282	-0.105	0.067	0.987	0.988	0.998	0.999	42.041	0.99	0.946
283	-0.109	0.071	0.987	0.987	0.998	0.999	42.04	0.99	0.946
284	-0.106	0.064	0.988	0.99	0.997	0.998	42.041	0.989	0.946
285	-0.105	0.069	0.987	0.988	0.998	0.999	42.041	0.99	0.946
286	-0.106	0.068	0.987	0.989	0.998	0.999	42.04	0.991	0.946
287	-0.108	0.06	0.988	0.99	0.998	0.998	42.045	0.988	0.946
288	-0.115	0.07	0.986	0.989	0.998	0.998	42.044	0.989	0.946
289	-0.109	0.065	0.987	0.989	0.998	0.999	42.041	0.989	0.946
290	-0.084	0.066	0.988	0.988	0.998	0.998	42.043	0.989	0.945
291	-0.108	0.06	0.987	0.99	0.998	0.999	42.041	0.991	0.946
292	-0.115	0.069	0.988	0.988	0.998	0.998	42.043	0.99	0.946
293	-0.121	0.063	0.989	0.989	0.997	0.998	42.04	0.989	0.947
294	-0.113	0.069	0.987	0.988	0.998	0.998	42.041	0.99	0.946
295	-0.115	0.072	0.985	0.989	0.997	0.997	42.041	0.988	0.946
296	-0.117	0.075	0.987	0.987	0.998	0.998	42.041	0.99	0.946
297	-0.076	0.07	0.987	0.987	0.997	0.998	42.041	0.986	0.945
298	-0.096	0.064	0.988	0.988	0.998	0.998	42.041	0.99	0.947
299	-0.093	0.057	0.988	0.992	0.997	0.998	42.04	0.99	0.946
300	-0.095	0.064	0.987	0.989	0.998	0.998	42.04	0.991	0.945
